y,collegeDegree,female,age,homeOwn,govt,length,id,aboveav
Fairly High,1,0,49,Yes,No,58.400001525878906,1,1
Average,0,1,35,Yes,No,46.150001525878906,2,0
Very High,0,1,57,Yes,No,89.5199966430664,3,1
Average,0,0,63,Yes,No,92.62999725341797,4,0
Fairly High,1,1,40,Yes,No,58.849998474121094,4,1
Average,0,0,77,Yes,No,53.81999969482422,4,0
Average,0,0,43,Yes,No,58.470001220703125,5,0
Fairly High,1,1,47,Yes,No,53.02000045776367,5,1
Average,1,1,26,Yes,No,58.97999954223633,5,0
Very High,0,1,48,No,Yes,86,6,1
Average,0,1,41,Yes,No,52.93000030517578,7,0
Fairly High,0,0,41,Yes,No,48.20000076293945,7,1
Fairly High,0,0,37,No,No,91,8,1
Average,0,1,18,Yes,No,53.25,8,0
Fairly High,0,1,70,Yes,No,135.47000122070312,8,1
Fairly High,0,0,31,Yes,No,73.37999725341797,8,1
Average,0,1,18,Yes,No,66.7699966430664,9,0
Fairly Low,0,1,22,No,No,47.970001220703125,9,0
Very Low,0,1,60,No,Yes,77.05000305175781,9,0
Fairly High,1,1,44,Yes,No,53.56999969482422,9,1
Very Low,0,0,72,Yes,No,69.06999969482422,10,0
Fairly Low,0,1,43,Yes,No,44.599998474121094,10,0
Fairly High,0,1,57,No,No,88.970001220703125,10,1
Average,1,0,43,Yes,No,74.4800033569336,10,0
Average,0,1,63,No,No,77.220001220703125,10,0
Fairly Low,0,1,40,No,No,49.68000030517578,10,0
Very High,1,1,44,Yes,No,48.5,11,1
Average,0,0,29,No,No,67.4800033569336,11,0
Average,0,0,63,Yes,No,45.22999954223633,11,0
Fairly High,0,1,19,No,No,57.650001525878906,11,1
Fairly High,0,1,57,Yes,No,56.880001068115234,11,1
Average,0,1,78,Yes,No,92.68000030517578,11,0
Average,0,1,39,Yes,No,120.16999816894531,11,0
Fairly High,0,0,68,Yes,No,79.5999984741211,8,1
Average,1,0,35,No,No,58.900001525878906,12,0
Average,0,1,22,No,No,46.630001068115234,13,0
Average,0,1,76,Yes,No,76.029998779296875,11,0
Average,1,1,32,Yes,No,73,11,0
Fairly Low,0,0,53,Yes,No,52.58000183105469,11,0
Average,0,1,59,No,No,183.10000610351562,14,0
Fairly High,1,0,62,Yes,No,NA,14,1
Average,1,1,30,Yes,No,87.16999816894531,15,0
Fairly High,0,1,67,Yes,No,62.779998779296875,15,1
Fairly High,0,1,43,Yes,Yes,67.5,15,1
Average,0,1,34,No,Yes,77.81999969482422,15,0
Very High,1,1,69,Yes,No,64.44999694824219,15,1
Fairly Low,0,1,28,No,No,51.130001068115234,12,0
Fairly Low,0,1,19,No,No,52.22999954223633,12,0
Average,0,1,23,No,No,50.58000183105469,10,0
Fairly Low,1,1,30,Yes,No,63.650001525878906,10,0
Fairly High,0,0,37,Yes,No,63.099998474121094,12,1
Average,1,0,29,Yes,No,61.72999954223633,12,0
Fairly High,1,0,47,Yes,No,92.68000030517578,16,1
Very High,0,1,67,No,No,61.869998931884766,17,1
Very High,1,1,NA,Yes,No,62.25,17,1
Average,0,0,50,Yes,No,83.31999969482422,17,0
Average,0,0,37,Yes,No,81.9000015258789,17,0
Fairly High,0,1,45,No,No,90.12000274658203,17,1
Fairly Low,0,1,51,No,No,58.75,17,0
Fairly Low,1,1,59,Yes,No,52.130001068115234,17,0
Average,0,0,34,Yes,No,57.31999969482422,18,0
Average,0,1,45,Yes,No,56.75,18,0
Fairly Low,0,1,43,Yes,No,59.29999923706055,18,0
Average,0,1,56,Yes,No,85.6500015258789,16,0
Very High,0,1,71,Yes,No,82.6500015258789,19,1
Very High,0,1,60,No,No,109.97000122070312,19,1
Average,0,1,52,Yes,No,60.70000076293945,20,0
Fairly Low,1,1,36,Yes,No,60.43000030517578,21,0
Fairly Low,0,1,58,Yes,No,72.529998779296875,21,0
Fairly High,1,1,38,Yes,No,54.31999969482422,22,1
Average,1,1,58,Yes,No,74.6500015258789,22,0
Fairly Low,0,0,30,No,No,58.95000076293945,2,0
Average,0,1,37,Yes,No,44.75,2,0
Fairly High,1,0,46,Yes,No,54.5,23,1
Very High,0,0,54,Yes,No,59.79999923706055,24,1
Very High,1,1,50,Yes,No,104.47000122070312,24,1
Average,0,1,84,Yes,No,59.06999969482422,24,0
Average,0,1,34,No,Yes,42.630001068115234,25,0
Fairly High,0,0,47,Yes,No,57.72999954223633,2,1
Fairly High,0,1,26,No,No,45.970001220703125,2,1
Average,1,1,40,Yes,No,56.16999816894531,25,0
Very Low,0,1,48,No,No,44.27000045776367,22,0
Average,0,1,24,Yes,No,55.56999969482422,22,0
Very Low,0,1,68,No,No,24.700000762939453,22,0
Average,1,1,37,Yes,No,NA,14,0
Average,0,1,34,Yes,No,234.47000122070312,14,0
Average,1,1,64,Yes,No,74.470001220703125,8,0
Average,0,1,34,Yes,No,76.91999816894531,11,0
Fairly High,0,0,45,Yes,No,74.33000183105469,18,1
Average,0,1,82,No,No,86.69999694824219,12,0
Fairly Low,0,1,38,No,No,46.06999969482422,8,0
Fairly High,0,0,56,No,No,50.77000045776367,8,1
Fairly High,1,0,25,Yes,No,53.97999954223633,8,1
Average,0,1,47,Yes,No,68.779998779296875,8,0
Average,0,0,57,Yes,No,44.150001525878906,23,0
Fairly High,0,1,76,No,No,43.880001068115234,23,1
Very High,1,0,49,Yes,No,65.12999725341797,23,1
Fairly Low,0,0,37,Yes,No,34.41999816894531,23,0
Very Low,0,1,35,Yes,No,49.099998474121094,23,0
Fairly Low,0,1,45,No,No,33.779998779296875,23,0
Average,0,1,51,Yes,No,54.95000076293945,23,0
Fairly High,1,0,78,Yes,No,73.58000183105469,5,1
Average,1,1,42,Yes,No,95.93000030517578,16,0
Very High,1,0,53,Yes,No,52.529998779296875,5,1
Average,0,1,51,Yes,No,53.869998931884766,5,0
Average,1,1,35,Yes,No,47.58000183105469,5,0
Fairly Low,1,0,42,No,No,69.220001220703125,5,0
Very High,1,0,36,No,Yes,67.05000305175781,5,1
Average,1,0,48,Yes,No,54.619998931884766,5,0
Very High,0,1,66,No,No,76.12000274658203,6,1
Very Low,0,1,30,No,No,47.83000183105469,6,0
Very High,1,1,40,Yes,No,124.91999816894531,6,1
Fairly Low,0,0,33,Yes,No,57.16999816894531,26,0
Fairly High,0,0,33,No,No,52.33000183105469,26,1
Very High,1,1,29,No,Yes,61.72999954223633,26,1
Fairly Low,0,1,20,Yes,No,54.16999816894531,26,0
Average,0,1,70,Yes,No,74.5,6,0
Very High,0,0,66,Yes,No,53,6,1
Very High,1,1,61,Yes,No,69.2699966430664,6,1
Fairly Low,0,1,74,Yes,No,77.7300033569336,6,0
Very High,1,1,65,No,No,75.44999694824219,6,1
Very High,1,1,55,No,Yes,51.56999969482422,6,1
Fairly High,1,0,31,Yes,No,60.68000030517578,27,1
Average,1,1,62,Yes,No,49.97999954223633,27,0
Very High,0,0,45,Yes,No,52.619998931884766,27,1
Fairly High,1,0,74,Yes,No,82.58000183105469,27,1
Very High,0,1,51,Yes,No,69.7699966430664,27,1
Fairly Low,0,1,60,Yes,No,46.47999954223633,26,0
Very High,0,0,65,Yes,No,50.45000076293945,28,1
Very High,1,0,59,Yes,No,50.279998779296875,28,1
Fairly Low,0,1,30,Yes,No,18.520000457763672,28,0
Very High,1,1,37,Yes,No,65.62000274658203,26,1
Average,1,1,70,Yes,No,56.279998779296875,28,0
Fairly Low,0,1,82,No,No,44.16999816894531,28,0
Fairly High,1,0,35,Yes,No,88.5,18,1
Fairly Low,0,0,61,Yes,No,62.43000030517578,29,0
Very High,0,0,57,Yes,No,74.18000030517578,18,1
Fairly Low,0,1,57,No,No,50.58000183105469,30,0
Average,1,0,41,Yes,No,42.41999816894531,9,0
Fairly High,0,1,56,Yes,Yes,48.619998931884766,30,1
Average,1,0,81,Yes,No,60.29999923706055,30,0
Average,1,1,35,Yes,No,77.30000305175781,14,0
Fairly High,1,0,55,Yes,No,108.5199966430664,14,1
Fairly High,1,1,33,No,No,90.720001220703125,14,1
Fairly Low,0,1,22,No,No,92.5999984741211,14,0
Average,0,0,24,No,Yes,89.81999969482422,14,0
Fairly High,0,1,78,Yes,No,61.77000045776367,31,1
Fairly High,1,0,47,No,Yes,61.75,9,1
Average,1,0,65,No,No,93.970001220703125,9,0
Average,1,1,79,Yes,No,76.18000030517578,9,0
Average,1,1,77,Yes,No,51.16999816894531,9,0
Fairly High,0,1,73,Yes,No,60.349998474121094,31,1
Fairly Low,1,1,44,Yes,Yes,44.22999954223633,32,0
Fairly Low,0,1,74,Yes,No,60.54999923706055,2,0
Average,0,1,88,Yes,No,58.779998779296875,2,0
Average,0,1,29,No,No,73.4800033569336,2,0
Average,1,1,21,Yes,Yes,53.58000183105469,33,0
Fairly Low,0,1,76,Yes,No,53.08000183105469,32,0
Fairly High,1,0,47,Yes,No,61.77000045776367,32,1
Very Low,0,1,53,Yes,No,46.79999923706055,32,0
Fairly Low,0,0,55,Yes,Yes,44.41999816894531,32,0
Fairly Low,1,1,45,No,Yes,59.130001068115234,23,0
Fairly Low,1,1,50,Yes,No,44.970001220703125,23,0
Average,0,0,37,Yes,No,49.04999923706055,23,0
Very Low,0,1,73,No,No,36.41999816894531,23,0
Very High,1,1,51,Yes,No,66.8499984741211,33,1
